
================================================= Netlist Information ==================================================

Total Gates : 100 || Total Pins : 4788 || Total Wires : 1232

=================================================== Gate Information ===================================================

Gate : 1 || Pos_X : 41 || Pos_Y 6 || Width : 17 || Height : 88
Pin : 1 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 17
Pin : 81 || Parent_Gate : 1 || Pin_X : 58 || Pin_Y : 25
Pin : 82 || Parent_Gate : 1 || Pin_X : 58 || Pin_Y : 80
Pin : 83 || Parent_Gate : 1 || Pin_X : 58 || Pin_Y : 9
Pin : 84 || Parent_Gate : 1 || Pin_X : 58 || Pin_Y : 89
Pin : 85 || Parent_Gate : 1 || Pin_X : 58 || Pin_Y : 68
Pin : 86 || Parent_Gate : 1 || Pin_X : 58 || Pin_Y : 28
Pin : 87 || Parent_Gate : 1 || Pin_X : 58 || Pin_Y : 69
Pin : 88 || Parent_Gate : 1 || Pin_X : 58 || Pin_Y : 93
Pin : 89 || Parent_Gate : 1 || Pin_X : 58 || Pin_Y : 72

Gate : 2 || Pos_X : 120 || Pos_Y 37 || Width : 60 || Height : 25
Pin : 1 || Parent_Gate : 2 || Pin_X : 120 || Pin_Y : 42
Pin : 2 || Parent_Gate : 2 || Pin_X : 120 || Pin_Y : 41
Pin : 3 || Parent_Gate : 2 || Pin_X : 120 || Pin_Y : 43
Pin : 4 || Parent_Gate : 2 || Pin_X : 120 || Pin_Y : 39
Pin : 5 || Parent_Gate : 2 || Pin_X : 120 || Pin_Y : 50
Pin : 6 || Parent_Gate : 2 || Pin_X : 120 || Pin_Y : 49
Pin : 7 || Parent_Gate : 2 || Pin_X : 120 || Pin_Y : 51
Pin : 8 || Parent_Gate : 2 || Pin_X : 120 || Pin_Y : 53
Pin : 9 || Parent_Gate : 2 || Pin_X : 120 || Pin_Y : 54
Pin : 10 || Parent_Gate : 2 || Pin_X : 120 || Pin_Y : 55
Pin : 11 || Parent_Gate : 2 || Pin_X : 120 || Pin_Y : 56
Pin : 12 || Parent_Gate : 2 || Pin_X : 120 || Pin_Y : 57
Pin : 13 || Parent_Gate : 2 || Pin_X : 120 || Pin_Y : 58
Pin : 14 || Parent_Gate : 2 || Pin_X : 120 || Pin_Y : 38
Pin : 15 || Parent_Gate : 2 || Pin_X : 120 || Pin_Y : 60
Pin : 16 || Parent_Gate : 2 || Pin_X : 120 || Pin_Y : 61
Pin : 17 || Parent_Gate : 2 || Pin_X : 120 || Pin_Y : 62
Pin : 18 || Parent_Gate : 2 || Pin_X : 180 || Pin_Y : 49
Pin : 19 || Parent_Gate : 2 || Pin_X : 180 || Pin_Y : 41
Pin : 20 || Parent_Gate : 2 || Pin_X : 180 || Pin_Y : 38
Pin : 21 || Parent_Gate : 2 || Pin_X : 180 || Pin_Y : 53
Pin : 22 || Parent_Gate : 2 || Pin_X : 180 || Pin_Y : 60
Pin : 23 || Parent_Gate : 2 || Pin_X : 180 || Pin_Y : 48

Gate : 3 || Pos_X : 200 || Pos_Y 44 || Width : 99 || Height : 11
Pin : 1 || Parent_Gate : 3 || Pin_X : 200 || Pin_Y : 47
Pin : 2 || Parent_Gate : 3 || Pin_X : 200 || Pin_Y : 48
Pin : 3 || Parent_Gate : 3 || Pin_X : 200 || Pin_Y : 49
Pin : 4 || Parent_Gate : 3 || Pin_X : 200 || Pin_Y : 46
Pin : 5 || Parent_Gate : 3 || Pin_X : 200 || Pin_Y : 51
Pin : 6 || Parent_Gate : 3 || Pin_X : 200 || Pin_Y : 52
Pin : 7 || Parent_Gate : 3 || Pin_X : 200 || Pin_Y : 53
Pin : 8 || Parent_Gate : 3 || Pin_X : 200 || Pin_Y : 54
Pin : 9 || Parent_Gate : 3 || Pin_X : 200 || Pin_Y : 55
Pin : 10 || Parent_Gate : 3 || Pin_X : 299 || Pin_Y : 50
Pin : 11 || Parent_Gate : 3 || Pin_X : 299 || Pin_Y : 47
Pin : 12 || Parent_Gate : 3 || Pin_X : 299 || Pin_Y : 52
Pin : 13 || Parent_Gate : 3 || Pin_X : 299 || Pin_Y : 53
Pin : 14 || Parent_Gate : 3 || Pin_X : 299 || Pin_Y : 54
Pin : 15 || Parent_Gate : 3 || Pin_X : 299 || Pin_Y : 45

Gate : 4 || Pos_X : 326 || Pos_Y 28 || Width : 47 || Height : 44
Pin : 1 || Parent_Gate : 4 || Pin_X : 326 || Pin_Y : 43
Pin : 2 || Parent_Gate : 4 || Pin_X : 326 || Pin_Y : 31
Pin : 3 || Parent_Gate : 4 || Pin_X : 326 || Pin_Y : 33
Pin : 4 || Parent_Gate : 4 || Pin_X : 326 || Pin_Y : 51
Pin : 5 || Parent_Gate : 4 || Pin_X : 326 || Pin_Y : 52
Pin : 6 || Parent_Gate : 4 || Pin_X : 326 || Pin_Y : 53
Pin : 7 || Parent_Gate : 4 || Pin_X : 326 || Pin_Y : 30
Pin : 8 || Parent_Gate : 4 || Pin_X : 326 || Pin_Y : 55
Pin : 9 || Parent_Gate : 4 || Pin_X : 326 || Pin_Y : 50
Pin : 10 || Parent_Gate : 4 || Pin_X : 326 || Pin_Y : 57
Pin : 11 || Parent_Gate : 4 || Pin_X : 326 || Pin_Y : 32
Pin : 12 || Parent_Gate : 4 || Pin_X : 326 || Pin_Y : 59
Pin : 13 || Parent_Gate : 4 || Pin_X : 326 || Pin_Y : 60
Pin : 14 || Parent_Gate : 4 || Pin_X : 326 || Pin_Y : 61
Pin : 15 || Parent_Gate : 4 || Pin_X : 326 || Pin_Y : 62
Pin : 16 || Parent_Gate : 4 || Pin_X : 326 || Pin_Y : 63
Pin : 17 || Parent_Gate : 4 || Pin_X : 326 || Pin_Y : 64
Pin : 18 || Parent_Gate : 4 || Pin_X : 326 || Pin_Y : 40
Pin : 19 || Parent_Gate : 4 || Pin_X : 326 || Pin_Y : 66
Pin : 20 || Parent_Gate : 4 || Pin_X : 326 || Pin_Y : 67
Pin : 21 || Parent_Gate : 4 || Pin_X : 326 || Pin_Y : 41
Pin : 22 || Parent_Gate : 4 || Pin_X : 326 || Pin_Y : 29
Pin : 23 || Parent_Gate : 4 || Pin_X : 326 || Pin_Y : 70
Pin : 24 || Parent_Gate : 4 || Pin_X : 326 || Pin_Y : 71
Pin : 25 || Parent_Gate : 4 || Pin_X : 326 || Pin_Y : 72
Pin : 26 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 29
Pin : 27 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 32
Pin : 28 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 30
Pin : 29 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 31
Pin : 30 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 36
Pin : 31 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 34
Pin : 32 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 38
Pin : 33 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 39
Pin : 34 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 37
Pin : 35 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 33
Pin : 36 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 42
Pin : 37 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 43
Pin : 38 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 44
Pin : 39 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 45
Pin : 40 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 46
Pin : 41 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 47
Pin : 42 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 48
Pin : 43 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 40
Pin : 44 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 50
Pin : 45 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 51
Pin : 46 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 52
Pin : 47 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 41
Pin : 48 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 54
Pin : 49 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 55
Pin : 50 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 56
Pin : 51 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 57
Pin : 52 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 58
Pin : 53 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 59
Pin : 54 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 60
Pin : 55 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 53
Pin : 56 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 62
Pin : 57 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 63
Pin : 58 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 64
Pin : 59 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 65
Pin : 60 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 66
Pin : 61 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 67
Pin : 62 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 68
Pin : 63 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 69
Pin : 64 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 70
Pin : 65 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 71
Pin : 66 || Parent_Gate : 4 || Pin_X : 373 || Pin_Y : 72

Gate : 5 || Pos_X : 404 || Pos_Y 16 || Width : 92 || Height : 67
Pin : 1 || Parent_Gate : 5 || Pin_X : 404 || Pin_Y : 31
Pin : 2 || Parent_Gate : 5 || Pin_X : 404 || Pin_Y : 59
Pin : 3 || Parent_Gate : 5 || Pin_X : 404 || Pin_Y : 34
Pin : 4 || Parent_Gate : 5 || Pin_X : 404 || Pin_Y : 19
Pin : 5 || Parent_Gate : 5 || Pin_X : 404 || Pin_Y : 23
Pin : 6 || Parent_Gate : 5 || Pin_X : 404 || Pin_Y : 32
Pin : 7 || Parent_Gate : 5 || Pin_X : 404 || Pin_Y : 46
Pin : 8 || Parent_Gate : 5 || Pin_X : 404 || Pin_Y : 76
Pin : 9 || Parent_Gate : 5 || Pin_X : 404 || Pin_Y : 77
Pin : 10 || Parent_Gate : 5 || Pin_X : 404 || Pin_Y : 78
Pin : 11 || Parent_Gate : 5 || Pin_X : 404 || Pin_Y : 36
Pin : 12 || Parent_Gate : 5 || Pin_X : 404 || Pin_Y : 80
Pin : 13 || Parent_Gate : 5 || Pin_X : 404 || Pin_Y : 39
Pin : 14 || Parent_Gate : 5 || Pin_X : 404 || Pin_Y : 82
Pin : 15 || Parent_Gate : 5 || Pin_X : 404 || Pin_Y : 83
Pin : 16 || Parent_Gate : 5 || Pin_X : 496 || Pin_Y : 37
Pin : 17 || Parent_Gate : 5 || Pin_X : 496 || Pin_Y : 51
Pin : 18 || Parent_Gate : 5 || Pin_X : 496 || Pin_Y : 38
Pin : 19 || Parent_Gate : 5 || Pin_X : 496 || Pin_Y : 45
Pin : 20 || Parent_Gate : 5 || Pin_X : 496 || Pin_Y : 55
Pin : 21 || Parent_Gate : 5 || Pin_X : 496 || Pin_Y : 71
Pin : 22 || Parent_Gate : 5 || Pin_X : 496 || Pin_Y : 64
Pin : 23 || Parent_Gate : 5 || Pin_X : 496 || Pin_Y : 69
Pin : 24 || Parent_Gate : 5 || Pin_X : 496 || Pin_Y : 57
Pin : 25 || Parent_Gate : 5 || Pin_X : 496 || Pin_Y : 22
Pin : 26 || Parent_Gate : 5 || Pin_X : 496 || Pin_Y : 76
Pin : 27 || Parent_Gate : 5 || Pin_X : 496 || Pin_Y : 42
Pin : 28 || Parent_Gate : 5 || Pin_X : 496 || Pin_Y : 70
Pin : 29 || Parent_Gate : 5 || Pin_X : 496 || Pin_Y : 36
Pin : 30 || Parent_Gate : 5 || Pin_X : 496 || Pin_Y : 80
Pin : 31 || Parent_Gate : 5 || Pin_X : 496 || Pin_Y : 28
Pin : 32 || Parent_Gate : 5 || Pin_X : 496 || Pin_Y : 82
Pin : 33 || Parent_Gate : 5 || Pin_X : 496 || Pin_Y : 44

Gate : 6 || Pos_X : 500 || Pos_Y 4 || Width : 100 || Height : 92
Pin : 1 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 63
Pin : 2 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 9
Pin : 3 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 35
Pin : 4 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 61
Pin : 5 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 24
Pin : 6 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 21
Pin : 7 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 74
Pin : 8 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 46
Pin : 9 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 57
Pin : 10 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 49
Pin : 11 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 10
Pin : 12 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 23
Pin : 13 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 76
Pin : 14 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 26
Pin : 15 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 81
Pin : 16 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 83
Pin : 17 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 27
Pin : 18 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 12
Pin : 19 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 86
Pin : 20 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 87
Pin : 21 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 7
Pin : 22 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 89
Pin : 23 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 37
Pin : 24 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 71
Pin : 25 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 39
Pin : 26 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 36
Pin : 27 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 30
Pin : 28 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 52
Pin : 29 || Parent_Gate : 6 || Pin_X : 500 || Pin_Y : 53
Pin : 30 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 9
Pin : 31 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 14
Pin : 32 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 29
Pin : 33 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 13
Pin : 34 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 33
Pin : 35 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 19
Pin : 36 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 17
Pin : 37 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 36
Pin : 38 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 37
Pin : 39 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 20
Pin : 40 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 6
Pin : 41 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 34
Pin : 42 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 26
Pin : 43 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 12
Pin : 44 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 10
Pin : 45 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 15
Pin : 46 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 38
Pin : 47 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 46
Pin : 48 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 43
Pin : 49 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 48
Pin : 50 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 49
Pin : 51 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 21
Pin : 52 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 22
Pin : 53 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 18
Pin : 54 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 53
Pin : 55 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 54
Pin : 56 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 55
Pin : 57 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 56
Pin : 58 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 57
Pin : 59 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 58
Pin : 60 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 59
Pin : 61 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 60
Pin : 62 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 61
Pin : 63 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 62
Pin : 64 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 16
Pin : 65 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 64
Pin : 66 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 7
Pin : 67 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 66
Pin : 68 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 67
Pin : 69 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 68
Pin : 70 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 69
Pin : 71 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 70
Pin : 72 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 71
Pin : 73 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 72
Pin : 74 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 73
Pin : 75 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 11
Pin : 76 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 75
Pin : 77 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 76
Pin : 78 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 44
Pin : 79 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 78
Pin : 80 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 40
Pin : 81 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 51
Pin : 82 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 81
Pin : 83 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 82
Pin : 84 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 83
Pin : 85 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 84
Pin : 86 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 85
Pin : 87 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 86
Pin : 88 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 87
Pin : 89 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 50
Pin : 90 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 89
Pin : 91 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 90
Pin : 92 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 91
Pin : 93 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 92
Pin : 94 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 93
Pin : 95 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 94
Pin : 96 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 23
Pin : 97 || Parent_Gate : 6 || Pin_X : 600 || Pin_Y : 96

Gate : 7 || Pos_X : 646 || Pos_Y 0 || Width : 7 || Height : 100
Pin : 1 || Parent_Gate : 7 || Pin_X : 646 || Pin_Y : 72
Pin : 2 || Parent_Gate : 7 || Pin_X : 646 || Pin_Y : 63
Pin : 3 || Parent_Gate : 7 || Pin_X : 646 || Pin_Y : 54
Pin : 4 || Parent_Gate : 7 || Pin_X : 646 || Pin_Y : 57
Pin : 5 || Parent_Gate : 7 || Pin_X : 646 || Pin_Y : 51
Pin : 6 || Parent_Gate : 7 || Pin_X : 646 || Pin_Y : 58
Pin : 7 || Parent_Gate : 7 || Pin_X : 646 || Pin_Y : 12
Pin : 8 || Parent_Gate : 7 || Pin_X : 646 || Pin_Y : 14
Pin : 9 || Parent_Gate : 7 || Pin_X : 646 || Pin_Y : 18
Pin : 10 || Parent_Gate : 7 || Pin_X : 646 || Pin_Y : 13
Pin : 11 || Parent_Gate : 7 || Pin_X : 646 || Pin_Y : 73
Pin : 12 || Parent_Gate : 7 || Pin_X : 646 || Pin_Y : 76
Pin : 13 || Parent_Gate : 7 || Pin_X : 646 || Pin_Y : 5
Pin : 14 || Parent_Gate : 7 || Pin_X : 646 || Pin_Y : 26
