g1 23 55 
pins g6 0 3 0 7 0 8 0 9 0 10 0 11 0 6 0 13 0 14 0 1 0 15 0 12 0 18 0 19 0 20 0 21 0 22 0 23 0 16 0 25 0 26 0 27 0 28 0 29 0 5 0 31 0 32 0 4 0 34 0 35 0 36 0 37 0 38 0 39 0 40 0 41 0 42 0 43 0 44 0 24 0 46 0 47 0 2 0 49 0 50 0 51 0 52 0 53 0 54 0 55 0 56 0 57 0 58 0 59 0 60 0 33 0 62 0 63 0 64 0 65 0 66 0 67 0 68 0 17 0 70 0 71 0 72 0 73 0 74 0 75 0 76 0 77 0 78 28 8 28 4 28 12 28 25 28 17 28 19 28 5 28 24 28 1 28 23 28 7 28 29 28 30 28 35 28 13 28 32 28 38 28 18 28 40 28 41 28 42 28 36 28 44 28 33 28 16 28 47 28 48 28 46 28 50 28 21 28 52 28 53 28 31 28 6 28 56 28 57 28 58 28 59 28 60 28 61 28 62 28 63 28 64 28 11 28 3 28 67 28 68 28 27 28 70 28 39 28 22 28 73 28 55 28 10 28 45 28 77 28 78 
g7 82 74 
pins g7 0 13 0 51 0 41 0 34 0 54 0 56 0 38 0 68 0 63 0 58 0 71 0 1 0 4 0 74 82 28 82 52 82 7 82 15 82 48 82 2 82 22 82 62 82 25 82 1 82 65 82 53 82 33 82 68 82 44 82 26 82 16 82 72 82 55 82 74 
g8 46 49 
pins g8 0 13 0 1 0 3 0 18 0 19 0 11 0 10 0 22 0 23 0 24 0 25 0 26 0 14 0 2 0 20 0 21 0 15 0 32 0 9 0 29 0 35 0 30 0 37 0 8 0 34 0 40 0 41 0 42 0 43 0 44 0 45 0 46 0 47 0 48 0 49 46 1 46 2 46 6 46 7 46 8 46 9 46 10 46 11 46 12 46 13 46 4 46 15 46 16 46 17 46 18 46 19 46 20 46 21 46 22 46 3 46 24 46 25 46 26 46 27 46 28 46 29 46 23 46 31 46 32 46 33 46 34 46 35 46 36 46 37 46 38 46 5 46 40 46 41 46 42 46 43 46 44 46 45 46 46 46 47 46 48 46 49 
g9 79 20 
pins g9 0 5 0 15 0 2 0 14 0 18 0 3 0 16 79 16 79 17 79 6 79 19 79 20 
g10 31 86 
pins g10 0 1 0 46 0 29 0 19 0 35 0 25 0 15 0 38 0 62 0 33 0 66 0 55 0 75 0 48 0 83 0 67 0 80 0 86 31 22 31 48 31 9 31 37 31 26 31 63 31 23 31 35 31 50 31 40 31 16 31 69 31 70 31 21 31 60 31 68 31 7 31 57 31 39 31 77 31 34 31 79 31 80 31 11 31 82 31 66 31 18 31 32 31 42 
wire g2.p52 g3.p2
wire g8.p54 g9.p5
wire g4.p20 g9.p9
wire g1.p67 g3.p6
wire g10.p8 g9.p1
wire g8.p30 g9.p6
wire g1.p49 g7.p19
wire g8.p9 g2.p57
wire g4.p12 g5.p41
wire g4.p3 g8.p40
wire g1.p45 g8.p42
wire g5.p64 g7.p17
wire g7.p12 g6.p117
wire g3.p22 g8.p45
wire g1.p35 g7.p26
wire g7.p24 g5.p53
wire g7.p8 g2.p90
wire g9.p11 g7.p1
wire g8.p18 g5.p50
wire g10.p11 g4.p5
wire g9.p9 g3.p19
wire g5.p3 g2.p66
wire g8.p63 g6.p59
wire g5.p31 g7.p16
wire g6.p97 g3.p12
wire g7.p2 g5.p46
wire g3.p7 g4.p20
wire g1.p58 g10.p5
wire g7.p25 g6.p21
wire g5.p23 g2.p96
wire g9.p12 g2.p1
wire g2.p43 g3.p19
wire g5.p15 g9.p12
wire g8.p43 g6.p4
wire g2.p35 g7.p13
wire g4.p24 g5.p67
wire g7.p27 g4.p4
wire g1.p15 g8.p24
wire g7.p28 g5.p45
wire g7.p24 g3.p11
wire g10.p33 g7.p19
wire g8.p15 g2.p66
wire g5.p14 g8.p43
wire g8.p70 g10.p23
wire g5.p12 g3.p15
wire g4.p7 g6.p106
wire g9.p7 g6.p76
wire g10.p47 g7.p15
wire g10.p16 g5.p6
wire g10.p22 g3.p5
wire g7.p27 g3.p14
wire g2.p68 g6.p110
wire g10.p41 g7.p7
wire g6.p91 g3.p10
wire g7.p34 g9.p2
wire g3.p3 g6.p103
wire g4.p14 g10.p41
wire g1.p30 g8.p25
wire g8.p61 g2.p58
wire g2.p81 g5.p52
wire g2.p91 g7.p22
wire g6.p123 g8.p45
wire g6.p122 g3.p20
wire g10.p38 g3.p6
wire g6.p130 g7.p10
wire g4.p21 g8.p77
wire g4.p14 g7.p9
wire g7.p14 g10.p42
wire g3.p5 g4.p15
wire g1.p53 g5.p77
wire g7.p18 g6.p22
wire g4.p18 g10.p31
wire g1.p30 g2.p61
wire g7.p33 g4.p19
wire g3.p16 g5.p61
wire g2.p31 g8.p37
wire g8.p46 g1.p57
wire g2.p62 g1.p48
wire g2.p91 g1.p66
wire g6.p36 g10.p2
wire g1.p39 g3.p10
wire g5.p35 g2.p76
wire g5.p8 g3.p11
wire g3.p19 g9.p3
wire g10.p33 g1.p53
wire g6.p10 g2.p18
wire g3.p9 g7.p31
wire g7.p19 g8.p62
wire g2.p87 g8.p10
wire g5.p73 g6.p121
wire g7.p5 g4.p8
wire g4.p18 g6.p103
wire g2.p38 g3.p18
wire g8.p12 g9.p8
wire g2.p23 g5.p47
wire g2.p65 g10.p41
wire g5.p54 g4.p6
wire g5.p67 g10.p13
wire g1.p34 g8.p50
wire g5.p37 g4.p16
wire g8.p73 g3.p4
wire g3.p21 g6.p2
wire g10.p30 g7.p31
wire g7.p18 g9.p9
wire g2.p45 g8.p81
wire g10.p6 g1.p36
wire g7.p29 g6.p88
wire g2.p79 g3.p16
wire g10.p35 g2.p5
wire g5.p21 g6.p17
wire g1.p67 g3.p12
wire g1.p20 g5.p11
wire g8.p20 g7.p21
wire g5.p25 g3.p20
wire g9.p9 g2.p96
wire g9.p8 g1.p31
wire g2.p47 g6.p38
wire g8.p26 g3.p1
wire g3.p21 g6.p93
wire g8.p73 g2.p43
wire g1.p25 g6.p109
wire g2.p37 g9.p8
wire g2.p89 g10.p12
wire g5.p33 g1.p61
wire g8.p46 g1.p71
wire g7.p6 g4.p14
wire g9.p4 g1.p25
wire g2.p8 g10.p26
wire g7.p19 g3.p5
wire g4.p11 g3.p21
wire g2.p56 g4.p2
wire g8.p13 g9.p12
wire g6.p78 g3.p4
wire g9.p9 g3.p12
wire g8.p74 g3.p18
wire g3.p15 g4.p21
wire g9.p10 g3.p10
wire g3.p7 g2.p51
wire g1.p52 g2.p76
wire g6.p8 g3.p3
wire g10.p34 g8.p70
wire g10.p34 g8.p61
wire g4.p15 g2.p53
wire g2.p41 g9.p8
wire g8.p45 g2.p26
wire g4.p18 g3.p9
wire g6.p118 g2.p74
wire g2.p69 g4.p10
wire g6.p89 g2.p87
wire g1.p16 g3.p13
wire g4.p19 g7.p26
wire g4.p19 g2.p83
wire g10.p37 g1.p6
wire g2.p15 g6.p66
wire g2.p33 g6.p103
wire g6.p84 g8.p76
wire g4.p19 g5.p34
wire g6.p112 g1.p33
wire g2.p94 g10.p47
wire g3.p6 g7.p19
wire g5.p56 g9.p8
wire g7.p20 g2.p83
wire g3.p15 g6.p27
wire g3.p16 g2.p70
wire g1.p72 g3.p20
wire g5.p13 g4.p15
wire g1.p7 g6.p102
wire g6.p87 g9.p11
wire g3.p21 g5.p32
wire g3.p22 g2.p95
wire g7.p3 g1.p3
wire g3.p9 g5.p68
wire g7.p34 g4.p1
wire g7.p21 g1.p51
wire g10.p7 g7.p16
wire g2.p9 g3.p21
wire g2.p62 g10.p15
wire g6.p6 g10.p42
wire g6.p113 g3.p15
wire g2.p86 g7.p29
wire g9.p11 g4.p16
wire g5.p10 g1.p39
wire g3.p19 g8.p5
wire g6.p108 g8.p50
wire g3.p7 g2.p68
wire g4.p18 g1.p8
wire g4.p20 g1.p19
wire g1.p22 g7.p17
wire g10.p1 g8.p62
wire g2.p98 g8.p79
wire g2.p74 g1.p37
wire g2.p98 g10.p9
wire g3.p10 g10.p3
wire g2.p76 g8.p27
wire g3.p6 g2.p73
wire g1.p52 g3.p19
wire g5.p54 g8.p19
wire g1.p57 g7.p26
wire g8.p73 g7.p29
wire g10.p23 g5.p73
wire g6.p12 g7.p27
wire g8.p41 g10.p38
wire g1.p38 g6.p44
wire g4.p14 g2.p61
wire g10.p27 g5.p28
wire g3.p9 g1.p9
wire g4.p9 g3.p16
wire g3.p18 g8.p45
wire g1.p66 g3.p10
wire g2.p12 g1.p67
wire g9.p9 g1.p25
wire g10.p41 g2.p86
wire g5.p36 g1.p25
wire g2.p58 g6.p114
wire g9.p10 g8.p51
wire g8.p75 g6.p115
wire g5.p63 g3.p10
wire g8.p49 g5.p64
wire g5.p30 g3.p8
wire g3.p19 g10.p36
wire g3.p18 g7.p17
wire g9.p8 g6.p79
wire g7.p32 g8.p48
wire g1.p37 g3.p8
wire g5.p27 g8.p76
wire g2.p19 g3.p10
wire g1.p48 g7.p21
wire g6.p76 g3.p8
wire g8.p8 g6.p30
wire g6.p45 g7.p23
wire g8.p41 g5.p74
wire g7.p31 g8.p73
wire g1.p43 g5.p66
wire g8.p79 g9.p10
wire g6.p103 g2.p87
wire g7.p16 g8.p50
wire g7.p21 g3.p14
wire g8.p38 g10.p39
wire g5.p55 g3.p20
wire g2.p61 g5.p18
wire g6.p24 g9.p12
wire g6.p78 g5.p16
wire g2.p77 g6.p47
wire g3.p16 g8.p81
wire g1.p70 g9.p12
wire g10.p22 g6.p124
wire g3.p19 g6.p112
wire g3.p9 g8.p66
wire g3.p15 g10.p46
wire g2.p78 g7.p33
wire g4.p18 g8.p56
wire g8.p16 g10.p39
wire g1.p21 g5.p73
wire g4.p22 g10.p30
wire g10.p23 g6.p125
wire g1.p50 g3.p5
wire g10.p21 g6.p60
wire g1.p44 g10.p30
wire g10.p47 g8.p44
wire g7.p33 g8.p3
wire g2.p55 g1.p1
wire g3.p4 g8.p35
wire g7.p20 g3.p20
wire g2.p48 g6.p86
wire g4.p17 g5.p63
wire g8.p60 g5.p29
wire g4.p16 g2.p22
wire g1.p10 g8.p73
wire g5.p20 g3.p19
wire g4.p17 g8.p75
wire g1.p71 g6.p111
wire g9.p8 g7.p22
wire g1.p28 g5.p2
wire g4.p20 g10.p41
wire g8.p79 g1.p4
wire g5.p63 g10.p27
wire g6.p106 g8.p22
wire g10.p34 g6.p25
wire g6.p31 g10.p37
wire g4.p18 g6.p49
wire g9.p9 g1.p34
wire g5.p48 g1.p59
wire g6.p101 g4.p23
wire g8.p57 g4.p17
wire g3.p8 g6.p16
wire g10.p20 g6.p129
wire g2.p44 g9.p11
wire g10.p24 g1.p66
wire g4.p17 g2.p83
wire g4.p19 g9.p9
wire g1.p31 g10.p10
wire g4.p14 g1.p2
wire g10.p44 g8.p62
wire g7.p34 g1.p38
wire g1.p38 g4.p15
wire g6.p92 g2.p7
wire g1.p30 g8.p17
wire g8.p39 g10.p21
wire g1.p48 g4.p13
wire g8.p68 g10.p28
wire g2.p88 g6.p42
wire g10.p39 g8.p49
wire g2.p63 g7.p16
wire g2.p69 g9.p9
wire g6.p64 g8.p57
wire g10.p14 g8.p38
wire g3.p9 g8.p56
wire g2.p4 g6.p108
wire g10.p42 g5.p39
wire g9.p12 g10.p33
wire g6.p91 g7.p25
wire g5.p49 g9.p12
wire g1.p70 g4.p19
wire g3.p12 g9.p8
wire g7.p31 g8.p71
wire g3.p15 g10.p27
wire g5.p70 g1.p60
wire g8.p68 g7.p26
wire g9.p12 g7.p20
wire g6.p11 g10.p47
wire g7.p22 g10.p31
wire g10.p43 g2.p83
wire g8.p57 g3.p4
wire g1.p18 g9.p10
wire g2.p48 g3.p5
wire g1.p44 g3.p11
wire g10.p45 g9.p9
wire g9.p11 g2.p88
wire g1.p38 g9.p9
wire g7.p16 g8.p6
wire g10.p17 g4.p13
wire g8.p34 g2.p56
wire g10.p26 g1.p26
wire g4.p19 g3.p12
wire g7.p25 g8.p69
wire g8.p60 g1.p37
wire g10.p35 g3.p7
wire g2.p45 g5.p54
wire g5.p42 g6.p56
wire g8.p71 g6.p28
wire g3.p19 g1.p54
wire g3.p7 g9.p10
wire g3.p17 g4.p14
wire g6.p120 g10.p20
wire g8.p75 g7.p22
wire g1.p45 g10.p35
wire g5.p59 g1.p62
wire g10.p45 g5.p17
wire g2.p99 g4.p23
wire g3.p16 g5.p69
wire g8.p32 g9.p11
wire g9.p10 g2.p89
wire g6.p97 g1.p62
wire g5.p9 g7.p27
wire g8.p81 g9.p12
wire g2.p93 g8.p69
wire g10.p37 g2.p98
wire g7.p23 g3.p8
wire g1.p31 g3.p6
wire g6.p63 g8.p55
wire g6.p26 g1.p53
wire g3.p6 g1.p57
wire g3.p7 g4.p21
wire g5.p59 g9.p11
wire g8.p56 g2.p47
wire g6.p125 g3.p8
wire g4.p21 g1.p64
wire g3.p12 g8.p75
wire g1.p68 g4.p21
wire g5.p62 g7.p32
wire g1.p63 g4.p17
wire g6.p9 g3.p18
wire g3.p11 g4.p21
wire g2.p56 g4.p19
wire g9.p8 g2.p73
wire g5.p58 g4.p18
wire g10.p45 g6.p123
wire g3.p22 g8.p58
wire g9.p8 g7.p23
wire g2.p62 g3.p7
wire g3.p16 g10.p40
wire g2.p92 g10.p39
wire g5.p63 g6.p67
wire g6.p124 g2.p90
wire g6.p123 g8.p28
wire g8.p54 g6.p93
wire g4.p21 g2.p14
wire g2.p83 g4.p18
wire g7.p26 g1.p62
wire g4.p19 g3.p20
wire g6.p119 g9.p9
wire g7.p16 g9.p9
wire g5.p73 g1.p57
wire g5.p5 g1.p49
wire g10.p18 g6.p93
wire g8.p63 g5.p44
wire g9.p10 g5.p61
wire g7.p31 g1.p40
wire g4.p20 g2.p58
wire g8.p71 g9.p11
wire g5.p75 g3.p22
wire g7.p15 g4.p16
wire g6.p123 g10.p20
wire g1.p38 g10.p21
wire g8.p4 g10.p38
wire g5.p74 g9.p10
wire g7.p22 g10.p27
wire g6.p54 g8.p57
wire g1.p52 g2.p32
wire g1.p44 g10.p43
wire g7.p23 g6.p57
wire g7.p17 g3.p16
wire g3.p7 g8.p43
wire g1.p42 g6.p101
wire g8.p2 g3.p9
wire g3.p19 g5.p54
wire g1.p27 g4.p14
wire g10.p47 g3.p7
wire g2.p60 g3.p14
wire g8.p31 g6.p62
wire g2.p79 g7.p23
wire g5.p72 g4.p13
wire g7.p33 g9.p12
wire g7.p28 g5.p72
wire g10.p36 g1.p57
wire g2.p39 g4.p21
wire g10.p19 g6.p23
wire g3.p8 g7.p19
wire g2.p68 g3.p21
wire g7.p15 g10.p38
wire g1.p65 g4.p17
wire g5.p57 g4.p20
wire g1.p68 g6.p121
wire g2.p48 g8.p21
wire g7.p19 g8.p36
wire g9.p9 g3.p9
wire g1.p23 g2.p66
wire g8.p53 g6.p109
wire g3.p3 g1.p25
wire g6.p92 g9.p11
wire g3.p14 g5.p55
wire g6.p111 g10.p44
wire g5.p69 g10.p20
wire g2.p74 g8.p58
wire g5.p52 g1.p54
wire g1.p56 g6.p90
wire g5.p62 g9.p9
wire g5.p51 g6.p98
wire g7.p34 g10.p41
wire g8.p29 g5.p54
wire g4.p23 g10.p43
wire g3.p3 g1.p65
wire g3.p16 g1.p47
wire g2.p13 g6.p65
wire g7.p27 g3.p11
wire g4.p21 g3.p20
wire g3.p17 g2.p78
wire g7.p24 g2.p93
wire g1.p70 g2.p10
wire g10.p41 g7.p24
wire g1.p5 g8.p60
wire g3.p4 g5.p40
wire g5.p22 g1.p14
wire g8.p56 g7.p33
wire g4.p22 g10.p29
wire g1.p52 g6.p13
wire g10.p22 g3.p19
wire g8.p48 g2.p96
wire g6.p50 g8.p56
wire g7.p26 g3.p16
wire g3.p11 g8.p64
wire g2.p98 g9.p9
wire g10.p24 g7.p21
wire g7.p30 g4.p14
wire g6.p86 g5.p69
wire g1.p31 g10.p42
wire g6.p107 g3.p22
wire g3.p15 g8.p41
wire g4.p19 g3.p15
wire g10.p20 g9.p8
wire g4.p20 g8.p77
wire g2.p57 g7.p24
wire g3.p20 g1.p65
wire g4.p24 g10.p47
wire g3.p10 g2.p65
wire g1.p13 g3.p6
wire g6.p124 g3.p13
wire g8.p53 g5.p67
wire g6.p69 g9.p10
wire g5.p53 g4.p17
wire g3.p3 g5.p75
wire g7.p15 g2.p69
wire g1.p47 g8.p41
wire g5.p51 g7.p4
wire g7.p22 g9.p12
wire g10.p19 g5.p69
wire g2.p86 g10.p22
wire g9.p8 g3.p3
wire g4.p19 g7.p27
wire g7.p23 g3.p9
wire g8.p23 g3.p3
wire g6.p107 g3.p6
wire g4.p13 g8.p40
wire g2.p41 g7.p11
wire g5.p59 g3.p3
wire g10.p30 g9.p9
wire g3.p10 g8.p52
wire g8.p36 g10.p36
wire g7.p24 g5.p52
wire g10.p22 g9.p12
wire g6.p77 g3.p7
wire g9.p9 g2.p60
wire g2.p78 g10.p30
wire g1.p49 g10.p23
wire g6.p108 g1.p50
wire g6.p113 g7.p16
wire g9.p12 g10.p27
wire g5.p19 g2.p20
wire g3.p20 g5.p59
wire g3.p20 g2.p83
wire g6.p127 g1.p39
wire g3.p12 g4.p15
wire g1.p51 g4.p13
wire g9.p11 g7.p20
wire g3.p8 g6.p37
wire g10.p35 g1.p35
wire g2.p48 g9.p9
wire g8.p68 g2.p78
wire g6.p77 g3.p17
wire g2.p55 g1.p45
wire g2.p34 g9.p9
wire g4.p24 g3.p13
wire g10.p28 g9.p12
wire g2.p89 g6.p115
wire g10.p30 g2.p81
wire g2.p52 g8.p74
wire g2.p41 g7.p30
wire g8.p55 g7.p34
wire g3.p8 g1.p45
wire g2.p82 g3.p4
wire g4.p20 g1.p35
wire g10.p22 g4.p20
wire g2.p50 g5.p55
wire g4.p15 g5.p52
wire g3.p4 g2.p50
wire g4.p21 g10.p46
wire g4.p24 g8.p58
wire g2.p58 g5.p4
wire g9.p12 g2.p80
wire g8.p73 g10.p35
wire g5.p69 g8.p57
wire g4.p20 g9.p8
wire g9.p10 g2.p47
wire g8.p78 g3.p10
wire g2.p83 g7.p26
wire g4.p18 g10.p20
wire g3.p17 g4.p15
wire g8.p75 g2.p46
wire g2.p55 g5.p26
wire g7.p15 g6.p121
wire g2.p45 g8.p59
wire g8.p51 g1.p42
wire g2.p27 g10.p33
wire g7.p31 g3.p8
wire g7.p25 g10.p46
wire g8.p61 g3.p4
wire g3.p19 g2.p69
wire g6.p46 g8.p37
wire g5.p67 g2.p89
wire g2.p76 g10.p19
wire g8.p14 g6.p73
wire g2.p96 g3.p6
wire g3.p16 g1.p51
wire g4.p15 g2.p29
wire g3.p15 g1.p46
wire g4.p22 g1.p63
wire g9.p11 g1.p52
wire g1.p39 g6.p122
wire g3.p21 g8.p58
wire g4.p19 g10.p43
wire g10.p44 g6.p14
wire g10.p46 g3.p4
wire g2.p30 g9.p9
wire g5.p69 g4.p18
wire g8.p42 g6.p43
wire g10.p23 g2.p11
wire g1.p51 g6.p15
wire g10.p42 g8.p48
wire g2.p92 g7.p17
wire g8.p57 g7.p23
wire g2.p83 g5.p52
wire g10.p19 g1.p36
wire g9.p10 g8.p75
wire g9.p11 g2.p75
wire g9.p12 g4.p23
wire g7.p19 g2.p78
wire g7.p29 g4.p24
wire g3.p15 g10.p39
wire g2.p28 g3.p20
wire g2.p86 g9.p10
wire g1.p29 g9.p8
wire g4.p16 g2.p48
wire g5.p65 g6.p124
wire g3.p5 g10.p45
wire g2.p70 g7.p34
wire g7.p19 g5.p67
wire g10.p43 g4.p17
wire g9.p8 g3.p16
wire g4.p13 g7.p33
wire g7.p27 g5.p73
wire g3.p22 g4.p21
wire g10.p34 g1.p58
wire g5.p57 g7.p24
wire g4.p13 g3.p21
wire g7.p28 g1.p59
wire g6.p82 g7.p24
wire g4.p23 g5.p78
wire g9.p10 g7.p31
wire g8.p72 g3.p18
wire g7.p27 g5.p52
wire g3.p16 g1.p49
wire g3.p13 g1.p48
wire g6.p72 g1.p37
wire g1.p28 g3.p13
wire g7.p24 g3.p5
wire g1.p52 g2.p90
wire g5.p76 g6.p100
wire g2.p3 g8.p41
wire g1.p58 g3.p9
wire g5.p60 g3.p14
wire g4.p22 g3.p3
wire g9.p9 g1.p47
wire g1.p17 g6.p111
wire g8.p39 g7.p18
wire g10.p21 g6.p108
wire g6.p1 g2.p66
wire g1.p42 g7.p33
wire g5.p43 g2.p42
wire g6.p115 g7.p21
wire g4.p24 g6.p61
wire g7.p26 g6.p34
wire g5.p70 g7.p22
wire g9.p12 g7.p16
wire g5.p51 g7.p33
wire g1.p62 g10.p45
wire g9.p11 g7.p27
wire g10.p33 g4.p21
wire g8.p69 g3.p13
wire g6.p121 g8.p64
wire g8.p38 g2.p72
wire g3.p22 g1.p58
wire g2.p87 g3.p7
wire g9.p9 g7.p24
wire g5.p66 g10.p31
wire g10.p40 g7.p18
wire g5.p1 g4.p22
wire g3.p3 g7.p23
wire g8.p60 g2.p54
wire g1.p70 g6.p114
wire g3.p4 g8.p60
wire g3.p10 g6.p51
wire g9.p12 g4.p14
wire g6.p92 g3.p12
wire g9.p8 g3.p6
wire g1.p12 g3.p20
wire g2.p79 g8.p37
wire g6.p125 g4.p23
wire g3.p21 g7.p31
wire g1.p60 g2.p40
wire g3.p19 g7.p29
wire g10.p29 g5.p74
wire g7.p26 g9.p10
wire g2.p25 g1.p43
wire g1.p60 g10.p42
wire g3.p20 g9.p11
wire g8.p80 g5.p56
wire g2.p66 g9.p9
wire g2.p91 g6.p79
wire g7.p33 g9.p9
wire g6.p20 g1.p58
wire g7.p34 g4.p18
wire g2.p17 g6.p76
wire g5.p61 g6.p74
wire g7.p30 g8.p53
wire g9.p9 g4.p14
wire g4.p17 g8.p81
wire g9.p12 g7.p26
wire g8.p50 g1.p37
wire g1.p33 g3.p9
wire g8.p65 g6.p109
wire g5.p56 g10.p47
wire g10.p21 g6.p80
wire g9.p11 g3.p17
wire g2.p67 g6.p19
wire g1.p32 g6.p5
wire g2.p96 g9.p8
wire g4.p22 g8.p45
wire g3.p4 g9.p9
wire g6.p92 g2.p21
wire g1.p32 g2.p84
wire g8.p74 g10.p26
wire g1.p69 g3.p11
wire g3.p14 g8.p50
wire g5.p64 g2.p73
wire g5.p74 g8.p49
wire g1.p45 g6.p100
wire g6.p117 g2.p45
wire g6.p113 g8.p79
wire g5.p38 g6.p115
wire g1.p42 g9.p10
wire g6.p7 g9.p8
wire g5.p68 g6.p94
wire g7.p25 g1.p53
wire g3.p22 g1.p35
wire g4.p24 g7.p24
wire g5.p60 g4.p15
wire g5.p64 g8.p78
wire g5.p66 g6.p112
wire g10.p46 g8.p78
wire g8.p55 g7.p19
wire g6.p90 g2.p70
wire g10.p29 g4.p15
wire g7.p22 g2.p75
wire g1.p34 g10.p19
wire g8.p7 g2.p51
wire g3.p21 g9.p8
wire g8.p52 g3.p6
wire g1.p28 g8.p77
wire g7.p19 g3.p21
wire g8.p64 g7.p27
wire g3.p13 g6.p124
wire g2.p76 g3.p15
wire g8.p55 g1.p45
wire g7.p30 g2.p77
wire g1.p64 g6.p109
wire g8.p77 g2.p56
wire g6.p86 g10.p31
wire g6.p58 g10.p37
wire g10.p38 g3.p16
wire g3.p11 g2.p86
wire g6.p105 g1.p35
wire g3.p11 g6.p95
wire g10.p21 g7.p26
wire g1.p27 g8.p1
wire g4.p22 g5.p54
wire g10.p26 g4.p13
wire g1.p55 g7.p33
wire g4.p18 g5.p73
wire g10.p47 g1.p27
wire g2.p98 g1.p56
wire g7.p15 g6.p29
wire g10.p30 g7.p29
wire g5.p75 g10.p38
wire g6.p39 g2.p42
wire g4.p22 g2.p90
wire g3.p17 g7.p17
wire g1.p25 g10.p24
wire g6.p40 g1.p40
wire g7.p25 g9.p11
wire g10.p25 g4.p20
wire g2.p56 g1.p34
wire g2.p47 g5.p65
wire g1.p69 g10.p32
wire g3.p19 g2.p6
wire g8.p80 g10.p24
wire g1.p65 g3.p7
wire g8.p72 g10.p40
wire g7.p19 g8.p47
wire g10.p41 g9.p12
wire g10.p46 g5.p51
wire g2.p84 g9.p10
wire g9.p10 g10.p19
wire g5.p52 g2.p56
wire g1.p51 g3.p12
wire g2.p91 g7.p23
wire g1.p66 g10.p23
wire g3.p10 g6.p94
wire g10.p29 g8.p52
wire g4.p17 g2.p80
wire g1.p46 g3.p16
wire g3.p17 g8.p81
wire g2.p85 g3.p12
wire g1.p50 g6.p101
wire g5.p71 g3.p8
wire g7.p34 g8.p44
wire g2.p63 g3.p12
wire g7.p24 g2.p56
wire g1.p72 g9.p10
wire g8.p58 g7.p32
wire g3.p5 g2.p67
wire g5.p63 g6.p115
wire g3.p16 g9.p11
wire g5.p71 g3.p17
wire g8.p63 g5.p24
wire g9.p10 g6.p33
wire g6.p123 g3.p4
wire g8.p39 g1.p33
wire g10.p35 g2.p48
wire g10.p45 g8.p55
wire g6.p83 g8.p45
wire g9.p9 g8.p63
wire g10.p43 g7.p30
wire g3.p14 g6.p108
wire g5.p60 g8.p44
wire g1.p57 g4.p19
wire g3.p12 g10.p41
wire g1.p50 g5.p71
wire g4.p21 g8.p47
wire g3.p9 g4.p23
wire g6.p91 g7.p34
wire g4.p17 g1.p28
wire g2.p69 g10.p20
wire g2.p90 g1.p24
wire g4.p13 g9.p12
wire g10.p4 g9.p12
wire g7.p28 g8.p75
wire g3.p21 g2.p76
wire g10.p20 g1.p54
